"FOLIO","VIV_SEL","HOGAR","N_INF","P3A1_1","P3A1_2","P4_1","P4_2_2","P7_1","ENT","TLOC","EST_DIS","UPM_DIS","FACTOR"
"0000001","01","1","01","2","","","02","2","01","1","002","0000001",206
"0000001","02","1","02","2","","","02","2","01","1","002","0000001",206
"0000001","03","1","01","2","","","01","1","01","1","002","0000001",206
"0000001","04","1","03","2","","","03","2","01","1","002","0000001",206
"0000001","05","1","01","1","1","","01","2","01","1","002","0000001",206
"0000002","01","1","01","2","","","01","2","01","1","002","0000002",205
"0000002","02","1","01","2","","","01","2","01","1","002","0000002",205
"0000002","04","1","03","2","","","01","2","01","1","002","0000002",205
"0000003","01","1","01","1","1","","01","2","01","1","002","0000003",234
"0000003","02","1","01","2","","","01","1","01","1","002","0000003",234
"0000003","03","1","01","2","","","01","2","01","1","002","0000003",234
"0000003","04","1","01","2","","","01","2","01","1","002","0000003",234
"0000003","05","1","01","2","","","01","1","01","1","002","0000003",234
"0000004","01","1","01","2","","","01","2","01","1","002","0000004",198
"0000004","02","1","02","2","","","02","2","01","1","002","0000004",198
"0000004","03","1","02","1","1","","02","2","01","1","002","0000004",198
"0000004","04","1","01","2","","","01","1","01","1","002","0000004",198
"0000004","05","1","05","2","","","01","1","01","1","002","0000004",198
"0000005","01","1","02","1","1","","02","2","01","1","001","0000005",224
"0000005","02","1","02","2","","","02","2","01","1","001","0000005",224
"0000005","03","1","01","2","","","01","2","01","1","001","0000005",224
"0000005","04","1","01","2","","","01","1","01","1","001","0000005",224
"0000005","05","1","01","1","1","","01","2","01","1","001","0000005",224
"0000006","01","1","01","2","","","01","2","01","1","002","0000006",213
"0000006","02","1","01","2","","","01","2","01","1","002","0000006",213
"0000006","03","1","01","1","1","","01","2","01","1","002","0000006",213
"0000006","04","1","01","2","","","01","2","01","1","002","0000006",213
"0000006","05","1","02","2","","","02","2","01","1","002","0000006",213
"0000007","01","1","02","2","","","02","2","01","1","002","0000007",201
"0000007","02","1","02","2","","","02","2","01","1","002","0000007",201
"0000007","03","1","02","2","","","02","2","01","1","002","0000007",201
"0000007","04","1","02","2","","","02","2","01","1","002","0000007",201
"0000007","05","1","04","2","","","01","1","01","1","002","0000007",201
"0000008","01","1","03","2","","","01","2","01","1","001","0000008",169
"0000008","03","1","01","2","","","01","1","01","1","001","0000008",169
"0000008","04","1","01","2","","","01","2","01","1","001","0000008",169
"0000008","05","1","01","2","","","01","2","01","1","001","0000008",169
"0000009","01","1","01","2","","","01","2","01","1","001","0000009",226
"0000009","02","1","03","2","","","03","2","01","1","001","0000009",226
"0000009","03","1","02","2","","","02","2","01","1","001","0000009",226
"0000009","04","1","01","2","","","01","2","01","1","001","0000009",226
"0000009","05","1","01","2","","","01","2","01","1","001","0000009",226
"0000010","01","1","02","2","","","02","1","01","1","001","0000010",186
"0000010","02","1","01","2","","","01","2","01","1","001","0000010",186
"0000010","03","1","01","2","","","01","1","01","1","001","0000010",186
"0000010","04","1","01","2","","","01","2","01","1","001","0000010",186
"0000010","05","1","02","1","1","","02","2","01","1","001","0000010",186
"0000011","01","1","04","2","","","04","2","01","1","001","0000011",194
"0000011","02","1","01","2","","","01","2","01","1","001","0000011",194
"0000011","04","1","01","2","","","01","2","01","1","001","0000011",194
"0000011","05","1","03","2","","","03","2","01","1","001","0000011",194
"0000012","01","1","01","2","","","01","2","01","1","001","0000012",190
"0000012","03","1","01","2","","","01","2","01","1","001","0000012",190
"0000012","04","1","01","2","","","01","2","01","1","001","0000012",190
"0000012","05","1","05","2","","","02","2","01","1","001","0000012",190
"0000013","01","1","01","2","","","01","2","01","1","002","0000013",234
"0000013","02","1","01","2","","","01","2","01","1","002","0000013",234
"0000013","03","1","01","2","","","01","2","01","1","002","0000013",234
"0000013","04","1","01","1","1","","01","1","01","1","002","0000013",234
"0000013","05","1","03","2","","","03","2","01","1","002","0000013",234
"0000014","01","1","02","2","","","02","1","01","1","001","0000014",188
"0000014","02","1","02","1","1","","02","2","01","1","001","0000014",188
"0000014","03","1","01","1","1","","01","2","01","1","001","0000014",188
"0000014","04","1","03","2","","","03","1","01","1","001","0000014",188
"0000014","05","1","02","1","1","","02","2","01","1","001","0000014",188
"0000015","01","1","02","2","","","02","2","01","1","002","0000015",150
"0000015","02","1","02","2","","","02","2","01","1","002","0000015",150
"0000015","03","1","02","2","","","02","1","01","1","002","0000015",150
"0000015","04","1","01","2","","","01","2","01","1","002","0000015",150
"0000015","05","1","01","2","","","01","2","01","1","002","0000015",150
"0000016","01","1","02","2","","","02","2","01","1","002","0000016",187
"0000016","02","1","01","2","","","01","2","01","1","002","0000016",187
"0000016","03","1","01","2","","","01","2","01","1","002","0000016",187
"0000016","04","1","03","1","1","","03","2","01","1","002","0000016",187
"0000016","05","1","03","2","","","03","2","01","1","002","0000016",187
"0000017","01","1","02","1","2","","02","2","01","1","002","0000017",187
"0000017","02","1","02","2","","","01","2","01","1","002","0000017",187
"0000017","03","1","01","2","","","01","2","01","1","002","0000017",187
"0000018","01","1","01","2","","","01","1","01","1","002","0000018",205
"0000018","02","1","01","2","","","01","1","01","1","002","0000018",205
"0000018","04","1","02","2","","","01","2","01","1","002","0000018",205
"0000018","05","1","02","2","","","02","2","01","1","002","0000018",205
"0000019","01","1","02","2","","","02","2","01","1","002","0000019",194
"0000019","02","1","01","1","1","","01","2","01","1","002","0000019",194
"0000019","03","1","01","2","","","01","2","01","1","002","0000019",194
"0000019","04","1","03","1","1","","03","2","01","1","002","0000019",194
"0000019","05","1","01","2","","","01","2","01","1","002","0000019",194
"0000020","01","1","01","2","","1","01","2","01","1","001","0000020",197
"0000020","01","2","01","1","1","2","","2","01","1","001","0000020",197
"0000020","02","1","01","2","","","01","2","01","1","001","0000020",197
"0000020","03","1","02","2","","","02","2","01","1","001","0000020",197
"0000020","04","1","01","2","","","01","1","01","1","001","0000020",197
"0000020","05","1","01","2","","","01","2","01","1","001","0000020",197
"0000021","01","1","02","2","","","02","2","01","1","002","0000021",186
"0000021","03","1","03","2","","","03","1","01","1","002","0000021",186
"0000021","04","1","02","2","","","02","2","01","1","002","0000021",186
"0000021","05","1","01","2","","","01","2","01","1","002","0000021",186
"0000022","01","1","02","2","","","02","2","01","1","002","0000022",211
"0000022","02","1","02","2","","","02","2","01","1","002","0000022",211
"0000022","03","1","03","2","","","03","2","01","1","002","0000022",211
"0000022","04","1","01","1","1","","01","2","01","1","002","0000022",211
"0000022","05","1","01","2","","","01","2","01","1","002","0000022",211
"0000023","01","1","01","2","","","01","2","01","1","002","0000023",230
"0000023","02","1","01","2","","","01","2","01","1","002","0000023",230
"0000023","03","1","02","2","","","02","2","01","1","002","0000023",230
"0000023","04","1","01","2","","","01","2","01","1","002","0000023",230
"0000023","05","1","01","2","","","01","2","01","1","002","0000023",230
"0000024","01","1","01","2","","","01","2","01","1","002","0000024",223
"0000024","02","1","01","2","","","01","2","01","1","002","0000024",223
"0000024","03","1","01","2","","","01","1","01","1","002","0000024",223
"0000024","04","1","01","2","","","01","2","01","1","002","0000024",223
"0000024","05","1","01","2","","","01","2","01","1","002","0000024",223
"0000025","02","1","02","2","","","02","2","01","1","002","0000025",163
"0000025","03","1","01","2","","","01","2","01","1","002","0000025",163
"0000025","04","1","02","2","","","02","2","01","1","002","0000025",163
"0000026","01","1","01","2","","","01","2","01","1","002","0000026",203
"0000026","03","1","01","1","1","","01","2","01","1","002","0000026",203
"0000026","04","1","01","1","1","","01","2","01","1","002","0000026",203
"0000027","01","1","02","2","","","02","2","01","1","001","0000027",199
"0000027","02","1","01","2","","","01","2","01","1","001","0000027",199
"0000027","03","1","02","2","","","02","2","01","1","001","0000027",199
"0000027","04","1","02","1","1","","03","2","01","1","001","0000027",199
"0000027","05","1","01","2","","","01","2","01","1","001","0000027",199
"0000028","01","1","02","2","","","02","2","01","1","001","0000028",175
"0000028","02","1","02","2","","","02","2","01","1","001","0000028",175
"0000028","03","1","01","2","","","01","2","01","1","001","0000028",175
"0000028","04","1","01","2","","","01","2","01","1","001","0000028",175
"0000028","05","1","01","2","","","01","2","01","1","001","0000028",175
"0000029","01","1","01","2","","","01","2","01","1","003","0000029",245
"0000029","02","1","02","2","","","02","2","01","1","003","0000029",245
"0000029","04","1","01","2","","","01","2","01","1","003","0000029",245
"0000029","05","1","02","2","","","02","2","01","1","003","0000029",245
"0000030","01","1","01","2","","","01","1","01","1","001","0000030",203
"0000030","02","1","01","1","1","","01","2","01","1","001","0000030",203
"0000030","03","1","02","2","","","02","2","01","1","001","0000030",203
"0000030","04","1","01","2","","","01","2","01","1","001","0000030",203
"0000030","05","1","01","2","","","01","2","01","1","001","0000030",203
"0000031","03","1","02","2","","","01","2","01","1","002","0000031",191
"0000031","04","1","01","2","","","01","2","01","1","002","0000031",191
"0000031","05","1","01","2","","","01","2","01","1","002","0000031",191
"0000032","01","1","02","2","","","01","2","01","1","002","0000032",181
"0000032","04","1","01","2","","","01","2","01","1","002","0000032",181
"0000032","05","1","02","2","","","02","1","01","1","002","0000032",181
"0000033","01","1","01","2","","","01","2","01","1","002","0000033",196
"0000033","02","1","05","2","","","05","2","01","1","002","0000033",196
"0000033","03","1","01","2","","","01","2","01","1","002","0000033",196
"0000033","04","1","03","2","","","03","2","01","1","002","0000033",196
"0000033","05","1","01","2","","","01","2","01","1","002","0000033",196
"0000034","01","1","01","2","","","01","2","01","1","002","0000034",235
"0000034","02","1","02","2","","","02","1","01","1","002","0000034",235
"0000034","03","1","01","2","","","01","1","01","1","002","0000034",235
"0000034","04","1","01","2","","","01","2","01","1","002","0000034",235
"0000035","01","1","01","2","","","01","2","01","1","002","0000035",231
"0000035","02","1","01","1","1","","01","2","01","1","002","0000035",231
"0000035","03","1","01","2","","","01","2","01","1","002","0000035",231
"0000035","04","1","02","2","","","02","1","01","1","002","0000035",231
"0000035","05","1","01","2","","","01","1","01","1","002","0000035",231
"0000036","01","1","01","2","","","01","2","01","1","003","0000036",230
"0000036","02","1","01","2","","","01","2","01","1","003","0000036",230
"0000036","03","1","01","2","","","01","1","01","1","003","0000036",230
"0000036","04","1","02","1","1","","02","2","01","1","003","0000036",230
"0000036","05","1","01","1","1","","01","1","01","1","003","0000036",230
"0000037","01","1","01","2","","","01","2","01","1","002","0000037",219
"0000037","03","1","02","2","","","02","2","01","1","002","0000037",219
"0000037","04","1","01","2","","","01","2","01","1","002","0000037",219
"0000037","05","1","02","2","","","02","2","01","1","002","0000037",219
"0000038","01","1","02","2","","","02","2","01","1","002","0000038",219
"0000038","04","1","02","2","","","02","2","01","1","002","0000038",219
"0000038","05","1","01","2","","","01","2","01","1","002","0000038",219
"0000039","01","1","01","1","1","","01","2","01","1","002","0000039",226
"0000039","02","1","01","2","","","01","1","01","1","002","0000039",226
"0000039","03","1","02","2","","","01","2","01","1","002","0000039",226
"0000039","04","1","01","2","","","01","1","01","1","002","0000039",226
"0000039","05","1","01","2","","","01","2","01","1","002","0000039",226
"0000040","01","1","03","2","","","01","2","01","1","001","0000040",140
"0000040","02","1","01","2","","","01","2","01","1","001","0000040",140
"0000040","03","1","02","2","","","01","2","01","1","001","0000040",140
"0000040","04","1","03","2","","","03","2","01","1","001","0000040",140
"0000040","05","1","01","1","1","","01","2","01","1","001","0000040",140
"0000041","01","1","01","2","","","01","2","01","1","002","0000041",196
"0000041","02","1","02","2","","","02","2","01","1","002","0000041",196
"0000041","03","1","03","2","","","03","2","01","1","002","0000041",196
"0000041","04","1","02","2","","","02","2","01","1","002","0000041",196
"0000041","05","1","04","1","1","","04","2","01","1","002","0000041",196
"0000042","01","1","01","2","","","01","2","01","1","002","0000042",204
"0000042","02","1","01","2","","","01","2","01","1","002","0000042",204
"0000042","03","1","02","2","","","02","2","01","1","002","0000042",204
"0000042","04","1","02","2","","","02","2","01","1","002","0000042",204
"0000042","05","1","02","1","1","","02","2","01","1","002","0000042",204
"0000043","01","1","01","2","","","02","2","01","1","002","0000043",226
"0000043","02","1","01","2","","","01","2","01","1","002","0000043",226
"0000043","03","1","01","1","1","","01","2","01","1","002","0000043",226
"0000043","04","1","01","1","1","","01","2","01","1","002","0000043",226
"0000044","01","1","01","2","","","01","2","01","1","002","0000044",212
"0000044","02","1","02","2","","","02","2","01","1","002","0000044",212
"0000044","04","1","02","2","","","02","2","01","1","002","0000044",212
"0000045","01","1","01","2","","","01","2","01","1","002","0000045",187
"0000045","02","1","01","2","","","01","2","01","1","002","0000045",187
"0000045","03","1","04","2","","","01","2","01","1","002","0000045",187
"0000045","04","1","01","2","","","01","2","01","1","002","0000045",187
"0000045","05","1","01","2","","","01","2","01","1","002","0000045",187
"0000046","01","1","01","2","","","01","1","01","1","002","0000046",212
"0000046","02","1","02","2","","","02","2","01","1","002","0000046",212
"0000046","03","1","01","2","","","01","2","01","1","002","0000046",212
"0000046","04","1","01","2","","","01","1","01","1","002","0000046",212
"0000047","02","1","02","2","","","02","2","01","1","002","0000047",188
"0000047","03","1","01","2","","","01","2","01","1","002","0000047",188
"0000047","04","1","02","2","","","02","2","01","1","002","0000047",188
"0000047","05","1","01","2","","","01","2","01","1","002","0000047",188
"0000048","01","1","02","2","","","02","2","01","1","001","0000048",320
"0000048","03","1","01","2","","","01","2","01","1","001","0000048",320
"0000048","04","1","02","2","","","02","1","01","1","001","0000048",320
"0000049","01","1","02","2","","","02","1","01","1","001","0000049",171
"0000049","02","1","01","2","","","01","2","01","1","001","0000049",171
"0000049","03","1","01","2","","","01","2","01","1","001","0000049",171
"0000049","04","1","02","2","","","02","2","01","1","001","0000049",171
"0000049","05","1","05","2","","","01","2","01","1","001","0000049",171
"0000050","01","1","01","2","","","01","2","01","1","002","0000050",212
"0000050","03","1","03","2","","1","01","1","01","1","002","0000050",212
"0000050","03","2","02","2","","2","","2","01","1","002","0000050",212
"0000050","04","1","01","2","","","01","2","01","1","002","0000050",212
"0000050","05","1","01","2","","","01","2","01","1","002","0000050",212
"0000051","01","1","01","2","","","01","2","01","1","001","0000051",224
"0000051","02","1","01","2","","","01","2","01","1","001","0000051",224
"0000051","03","1","03","2","","","01","2","01","1","001","0000051",224
"0000051","04","1","02","2","","","04","2","01","1","001","0000051",224
"0000051","05","1","02","2","","","02","2","01","1","001","0000051",224
"0000052","02","1","01","2","","","01","1","01","1","003","0000052",232
"0000052","03","1","01","2","","","01","2","01","1","003","0000052",232
"0000052","04","1","02","2","","","02","1","01","1","003","0000052",232
"0000052","05","1","01","2","","","01","1","01","1","003","0000052",232
"0000053","01","1","05","1","1","","02","1","01","1","001","0000053",188
"0000053","02","1","04","1","1","","04","2","01","1","001","0000053",188
"0000053","03","1","04","2","","","04","2","01","1","001","0000053",188
"0000053","04","1","01","2","","","01","2","01","1","001","0000053",188
"0000053","05","1","02","2","","","01","2","01","1","001","0000053",188
"0000054","01","1","01","2","","","01","2","01","1","002","0000054",238
"0000054","02","1","01","2","","","01","2","01","1","002","0000054",238
"0000054","03","1","01","2","","","01","2","01","1","002","0000054",238
"0000054","04","1","01","2","","","01","2","01","1","002","0000054",238
"0000054","05","1","02","2","","","02","2","01","1","002","0000054",238
"0000055","01","1","01","2","","","01","2","01","1","001","0000055",212
"0000055","02","1","01","2","","","01","2","01","1","001","0000055",212
"0000055","04","1","01","1","1","","01","2","01","1","001","0000055",212
"0000055","05","1","01","1","1","","01","2","01","1","001","0000055",212
"0000056","01","1","01","2","","","01","1","01","1","001","0000056",177
"0000056","02","1","01","2","","","01","2","01","1","001","0000056",177
"0000056","03","1","03","2","","","03","2","01","1","001","0000056",177
"0000056","05","1","01","2","","","01","2","01","1","001","0000056",177
"0000057","01","1","01","1","1","","01","2","01","1","001","0000057",195
"0000057","02","1","01","2","","","01","2","01","1","001","0000057",195
"0000057","04","1","02","2","","","02","2","01","1","001","0000057",195
"0000057","05","1","01","1","1","","01","2","01","1","001","0000057",195
"0000058","01","1","01","1","1","","01","2","01","1","002","0000058",211
"0000058","02","1","02","2","","","02","1","01","1","002","0000058",211
"0000058","03","1","02","2","","","02","2","01","1","002","0000058",211
"0000058","05","1","01","1","1","","01","2","01","1","002","0000058",211
"0000059","01","1","02","2","","","02","2","01","1","002","0000059",205
"0000059","02","1","02","2","","","02","2","01","1","002","0000059",205
"0000059","03","1","03","2","","","03","2","01","1","002","0000059",205
"0000059","04","1","02","2","","","02","2","01","1","002","0000059",205
"0000059","05","1","03","1","1","","01","2","01","1","002","0000059",205
"0000060","01","1","01","2","","","01","2","01","1","002","0000060",217
"0000060","02","1","01","2","","","01","2","01","1","002","0000060",217
"0000060","03","1","02","1","1","","02","2","01","1","002","0000060",217
"0000060","04","1","01","2","","","01","2","01","1","002","0000060",217
"0000060","05","1","02","2","","","02","1","01","1","002","0000060",217
"0000061","01","1","02","2","","","02","2","01","1","002","0000061",193
"0000061","02","1","02","2","","","02","2","01","1","002","0000061",193
"0000061","03","1","01","2","","","01","2","01","1","002","0000061",193
"0000061","04","1","03","2","","","03","2","01","1","002","0000061",193
"0000061","05","1","04","2","","","04","2","01","1","002","0000061",193
"0000062","02","1","01","2","","","01","2","01","1","002","0000062",228
"0000062","03","1","02","2","","","02","1","01","1","002","0000062",228
"0000062","05","1","02","1","1","","02","2","01","1","002","0000062",228
"0000063","01","1","01","2","","","01","2","01","1","002","0000063",217
"0000063","02","1","01","1","2","","01","2","01","1","002","0000063",217
"0000063","03","1","01","2","","","01","2","01","1","002","0000063",217
"0000063","04","1","01","2","","","01","2","01","1","002","0000063",217
"0000063","05","1","02","2","","","02","1","01","1","002","0000063",217
"0000064","01","1","02","2","","","02","2","01","1","003","0000064",213
"0000064","02","1","01","2","","","01","2","01","1","003","0000064",213
"0000064","03","1","02","1","1","","02","1","01","1","003","0000064",213
"0000064","04","1","01","2","","","01","2","01","1","003","0000064",213
"0000064","05","1","02","2","","","02","2","01","1","003","0000064",213
"0000065","01","1","04","2","","","02","1","01","1","002","0000065",229
"0000065","02","1","01","2","","","01","2","01","1","002","0000065",229
"0000065","03","1","02","2","","","01","2","01","1","002","0000065",229
"0000065","04","1","01","2","","","01","2","01","1","002","0000065",229
"0000065","05","1","01","1","1","","01","2","01","1","002","0000065",229
"0000066","01","1","01","2","","","01","2","01","1","002","0000066",221
"0000066","02","1","01","2","","","01","2","01","1","002","0000066",221
"0000066","03","1","02","2","","","02","2","01","1","002","0000066",221
"0000066","04","1","01","2","","","01","2","01","1","002","0000066",221
"0000066","05","1","05","2","","","01","2","01","1","002","0000066",221
"0000067","01","1","05","2","","","05","2","01","1","002","0000067",200
"0000067","02","1","02","2","","","02","2","01","1","002","0000067",200
"0000067","03","1","01","2","","","01","2","01","1","002","0000067",200
"0000067","05","1","01","2","","","01","2","01","1","002","0000067",200
"0000068","01","1","01","2","","","01","2","01","1","002","0000068",225
"0000068","02","1","01","2","","","01","2","01","1","002","0000068",225
"0000068","03","1","01","2","","","01","2","01","1","002","0000068",225
"0000068","04","1","02","2","","","02","2","01","1","002","0000068",225
"0000068","05","1","01","1","1","","01","2","01","1","002","0000068",225
"0000069","01","1","01","2","","","01","1","01","1","002","0000069",192
"0000069","02","1","01","2","","","01","2","01","1","002","0000069",192
"0000069","03","1","01","2","","","01","2","01","1","002","0000069",192
"0000069","04","1","01","2","","","01","2","01","1","002","0000069",192
"0000069","05","1","01","2","","","01","2","01","1","002","0000069",192
"0000070","01","1","01","2","","","01","2","01","1","001","0000070",172
"0000070","03","1","02","2","","","02","2","01","1","001","0000070",172
"0000070","05","1","03","2","","","03","2","01","1","001","0000070",172
"0000071","01","1","02","2","","","01","2","01","1","002","0000071",192
"0000071","02","1","02","2","","","02","2","01","1","002","0000071",192
"0000071","03","1","01","2","","","01","2","01","1","002","0000071",192
"0000071","04","1","02","2","","","02","2","01","1","002","0000071",192
"0000071","05","1","02","2","","2","","1","01","1","002","0000071",192
"0000071","05","2","01","2","","1","01","2","01","1","002","0000071",192
"0000072","01","1","01","2","","","01","2","01","1","001","0000072",203
"0000072","02","1","01","1","1","","01","1","01","1","001","0000072",203
"0000072","03","1","01","2","","","01","2","01","1","001","0000072",203
"0000072","04","1","02","2","","","02","1","01","1","001","0000072",203
"0000072","05","1","01","2","","","01","2","01","1","001","0000072",203
"0000073","01","1","01","2","","","01","2","01","1","002","0000073",226
"0000073","02","1","02","1","1","","01","2","01","1","002","0000073",226
"0000073","03","1","03","2","","","03","2","01","1","002","0000073",226
"0000073","04","1","01","2","","","01","2","01","1","002","0000073",226
"0000073","05","1","02","2","","","02","2","01","1","002","0000073",226
"0000074","02","1","01","1","1","","01","2","01","1","002","0000074",239
"0000074","03","1","01","1","1","","01","2","01","1","002","0000074",239
"0000074","05","1","02","1","1","","02","2","01","1","002","0000074",239
"0000075","01","1","01","2","","","01","2","01","1","003","0000075",221
"0000075","02","1","01","2","","","01","2","01","1","003","0000075",221
"0000075","03","1","02","2","","","02","2","01","1","003","0000075",221
"0000075","04","1","01","2","","","01","2","01","1","003","0000075",221
"0000076","01","1","01","2","","","01","2","01","1","003","0000076",233
"0000076","02","1","04","2","","","01","2","01","1","003","0000076",233
"0000076","03","1","02","2","","","02","2","01","1","003","0000076",233
"0000076","04","1","03","2","","","02","2","01","1","003","0000076",233
"0000076","05","1","02","2","","","01","2","01","1","003","0000076",233
"0000077","01","1","01","1","1","1","01","2","01","1","002","0000077",212
"0000077","01","2","02","1","1","2","","2","01","1","002","0000077",212
"0000077","02","1","02","2","","","02","2","01","1","002","0000077",212
"0000077","03","1","02","2","","","02","2","01","1","002","0000077",212
"0000077","04","1","01","2","","","01","2","01","1","002","0000077",212
"0000077","05","1","02","2","","","02","2","01","1","002","0000077",212
"0000078","01","1","01","2","","","01","2","01","1","002","0000078",235
"0000078","02","1","02","1","1","","02","2","01","1","002","0000078",235
"0000078","03","1","03","2","","","03","2","01","1","002","0000078",235
"0000078","04","1","02","2","","","02","2","01","1","002","0000078",235
"0000079","01","1","01","2","","","01","2","01","1","001","0000079",215
"0000079","02","1","01","2","","","01","2","01","1","001","0000079",215
"0000079","03","1","02","2","","2","","2","01","1","001","0000079",215
"0000079","03","2","02","2","","1","02","2","01","1","001","0000079",215
"0000079","04","1","02","2","","","01","2","01","1","001","0000079",215
"0000079","05","1","01","2","","","01","1","01","1","001","0000079",215
"0000080","01","1","02","2","","","02","2","01","1","002","0000080",178
"0000080","02","1","02","2","","1","02","2","01","1","002","0000080",178
"0000080","02","2","06","2","","2","","2","01","1","002","0000080",178
"0000080","03","1","01","1","1","1","01","2","01","1","002","0000080",178
"0000080","03","2","01","2","","2","","2","01","1","002","0000080",178
"0000080","04","1","06","1","1","","02","1","01","1","002","0000080",178
"0000080","05","1","02","2","","","01","2","01","1","002","0000080",178
"0000081","01","1","01","2","","","01","2","01","1","002","0000081",239
"0000081","02","1","02","2","","","02","2","01","1","002","0000081",239
"0000081","03","1","02","2","","","02","2","01","1","002","0000081",239
"0000081","04","1","01","2","","","01","1","01","1","002","0000081",239
"0000081","05","1","01","2","","","01","1","01","1","002","0000081",239
"0000082","01","1","02","2","","","02","2","01","1","002","0000082",242
"0000082","02","1","02","2","","","01","2","01","1","002","0000082",242
"0000082","03","1","01","2","","","01","2","01","1","002","0000082",242
"0000083","01","1","03","2","","","03","1","01","1","003","0000083",227
"0000083","03","1","01","2","","","01","2","01","1","003","0000083",227
"0000083","04","1","01","2","","","01","2","01","1","003","0000083",227
"0000084","01","1","04","2","","","04","1","01","1","002","0000084",207
"0000084","02","1","03","2","","","01","2","01","1","002","0000084",207
"0000084","03","1","02","2","","","02","1","01","1","002","0000084",207
"0000084","05","1","01","1","1","","01","1","01","1","002","0000084",207
"0000085","01","1","03","2","","","01","1","01","1","002","0000085",197
"0000085","02","1","01","2","","","01","1","01","1","002","0000085",197
"0000085","03","1","01","2","","","01","1","01","1","002","0000085",197
"0000085","04","1","01","2","","","01","2","01","1","002","0000085",197
"0000085","05","1","02","2","","","02","1","01","1","002","0000085",197
"0000086","01","1","02","1","1","","02","2","01","1","001","0000086",138
"0000086","02","1","01","2","","1","01","2","01","1","001","0000086",138
"0000086","02","2","02","1","1","2","","2","01","1","001","0000086",138
"0000086","02","3","02","1","1","2","","2","01","1","001","0000086",138
"0000086","02","4","02","1","1","2","","2","01","1","001","0000086",138
"0000086","03","1","03","2","","","01","2","01","1","001","0000086",138
"0000086","04","1","01","2","","","01","2","01","1","001","0000086",138
"0000086","05","1","03","2","","","01","2","01","1","001","0000086",138
"0000087","01","1","02","2","","","01","2","01","1","003","0000087",223
"0000087","02","1","01","2","","","01","2","01","1","003","0000087",223
"0000087","03","1","03","1","1","","03","2","01","1","003","0000087",223
"0000087","04","1","02","1","1","","02","2","01","1","003","0000087",223
"0000087","05","1","01","2","","","01","2","01","1","003","0000087",223
"0000088","02","1","02","2","","","01","2","01","1","003","0000088",239
"0000088","03","1","01","2","","","01","2","01","1","003","0000088",239
"0000088","04","1","01","1","1","","02","1","01","1","003","0000088",239
"0000088","05","1","01","2","","","01","1","01","1","003","0000088",239
"0000089","01","1","01","2","","","01","2","01","1","003","0000089",231
"0000089","02","1","01","2","","","01","1","01","1","003","0000089",231
"0000089","03","1","02","2","","","01","2","01","1","003","0000089",231
"0000089","04","1","01","1","1","","01","2","01","1","003","0000089",231
"0000089","05","1","02","2","","","01","1","01","1","003","0000089",231
"0000090","02","1","04","2","","","01","2","01","1","003","0000090",210
"0000090","03","1","01","1","1","","01","1","01","1","003","0000090",210
"0000090","04","1","02","2","","","02","2","01","1","003","0000090",210
"0000090","05","1","01","2","","","01","2","01","1","003","0000090",210
"0000091","01","1","01","2","","","01","2","01","1","003","0000091",210
"0000091","03","1","02","1","1","","02","2","01","1","003","0000091",210
"0000091","04","1","01","2","","","01","2","01","1","003","0000091",210
"0000091","05","1","01","2","","","01","2","01","1","003","0000091",210
"0000092","01","1","01","2","","","01","2","01","1","001","0000092",246
"0000092","02","1","01","2","","","01","2","01","1","001","0000092",246
"0000092","03","1","03","2","","","03","2","01","1","001","0000092",246
"0000092","04","1","01","1","1","","01","2","01","1","001","0000092",246
"0000092","05","1","01","1","1","","01","2","01","1","001","0000092",246
"0000093","01","1","01","2","","","01","2","01","1","001","0000093",230
"0000093","02","1","02","2","","","02","2","01","1","001","0000093",230
"0000093","03","1","01","2","","","01","2","01","1","001","0000093",230
"0000093","04","1","01","2","","","01","2","01","1","001","0000093",230
"0000093","05","1","01","1","1","","01","2","01","1","001","0000093",230
"0000094","01","1","02","1","1","","02","2","01","1","002","0000094",222
"0000094","03","1","01","1","1","","01","1","01","1","002","0000094",222
"0000094","05","1","01","2","","","01","2","01","1","002","0000094",222
"0000095","01","1","02","2","","","02","2","01","1","002","0000095",224
"0000095","02","1","01","1","1","","01","2","01","1","002","0000095",224
"0000095","03","1","02","2","","","02","2","01","1","002","0000095",224
"0000095","04","1","01","2","","","01","2","01","1","002","0000095",224
"0000095","05","1","02","2","","","02","2","01","1","002","0000095",224
"0000096","01","1","02","2","","","02","2","01","1","002","0000096",214
"0000096","02","1","02","2","","","02","2","01","1","002","0000096",214
"0000096","03","1","02","2","","","02","2","01","1","002","0000096",214
"0000096","04","1","01","2","","","01","1","01","1","002","0000096",214
"0000096","05","1","02","2","","","02","2","01","1","002","0000096",214
"0000097","01","1","02","2","","","02","2","01","1","002","0000097",211
"0000097","02","1","02","2","","","02","2","01","1","002","0000097",211
"0000097","03","1","01","2","","","01","2","01","1","002","0000097",211
"0000097","05","1","03","2","","","03","2","01","1","002","0000097",211
"0000098","01","1","01","2","","","01","2","01","1","002","0000098",240
"0000098","02","1","03","2","","","03","2","01","1","002","0000098",240
"0000098","03","1","02","2","","","02","2","01","1","002","0000098",240
"0000098","04","1","02","2","","","02","2","01","1","002","0000098",240
"0000098","05","1","01","2","","","01","2","01","1","002","0000098",240
"0000099","01","1","03","2","","","03","2","01","1","002","0000099",225
