"FOLIO","VIV_SEL","HOGAR","C_DENEVI","P3A2_2","P3A2_3","P3A3","P3A4","P3A5","P3A6","P3A7","P3A8_1","P3A8_2","P3A8_3","P3A9","P3A10","P3A11","ENT","TLOC","EST_DIS","UPM_DIS","FACTOR"
"0000094","01","1","1","03","","3","2","","05","","2","","","9","1","","01","1","002","0000094",222
"0000094","03","1","1","01","","4","2","","02","","3","","","5","1","","01","1","002","0000094",222
"0000095","02","1","1","01","","3","4","","01","1","4","","","1","1","","01","1","002","0000095",224
"0000100","02","1","1","03","","3","2","","05","","3","","","4","1","","01","1","002","0000100",227
"0000100","04","1","1","01","","4","2","","01","","2","","","5","1","","01","1","002","0000100",227
"0000101","03","1","1","02","","3","3","","05","","1","","","3","2","1","01","1","001","0000101",190
"0000101","03","1","2","05","","2","3","","05","","1","","","3","2","1","01","1","001","0000101",190
"0000101","03","2","1","01","","3","3","","05","","1","6","","2","2","1","01","1","001","0000101",190
"0000102","05","1","1","03","","3","2","","05","","2","","","3","1","","01","1","001","0000102",217
"0000103","01","1","1","01","","3","4","","03","1","2","","","1","1","","01","1","001","0000103",210
"0000103","02","1","1","03","","3","2","","05","","3","","","3","1","","01","1","001","0000103",210
"0000104","05","2","1","03","","2","2","","05","","9","","","1","2","9","01","1","001","0000104",112
"0000105","01","1","1","01","","4","9","","","","","","","","","","01","1","001","0000105",177
"0000105","05","1","1","03","","3","2","","05","","2","","","2","1","","01","1","001","0000105",177
"0000106","04","1","1","01","","3","2","","03","","2","","","9","1","","01","1","001","0000106",203
"0000107","02","1","1","01","","2","9","","","","","","","","","","01","1","001","0000107",227
"0000108","04","1","1","03","","3","2","","05","","2","","","9","1","","01","1","002","0000108",216
"0000111","02","1","1","02","","3","3","","06","","2","","","2","1","","01","1","002","0000111",239
"0000112","04","1","1","01","","3","3","","08","","4","","","2","2","1","01","1","002","0000112",184
"0000113","02","1","1","01","","3","2","","05","","2","","","3","1","","01","1","002","0000113",199
"0000113","03","1","1","02","","3","2","","02","","5","","","3","1","","01","1","002","0000113",199
"0000113","04","1","1","03","","3","2","","02","","2","","","9","1","","01","1","002","0000113",199
"0000114","05","1","1","02","","3","1","5","","","","","","","","","01","1","002","0000114",207
"0000119","01","1","1","02","","3","4","","05","2","","","","","","","01","1","003","0000119",216
"0000119","01","1","2","02","","2","4","","05","2","","","","","","","01","1","003","0000119",216
