"FOLIO","VIV_SEL","HOGAR","C_DENEVI","P3A2_2","P3A2_3","P3A3","P3A4","P3A5","P3A6","P3A7","P3A8_1","P3A8_2","P3A8_3","P3A9","P3A10","P3A11","ENT","TLOC","EST_DIS","UPM_DIS","FACTOR"
"0002576","04","1","1","02","","2","2","","04","","3","","","5","1","","09","1","136","0002576",1776
"0002577","03","1","1","03","","2","3","","03","","2","","","3","1","","09","1","136","0002577",1880
"0002578","02","1","1","02","","4","3","","05","","2","","","5","1","","09","1","136","0002578",1756
"0002578","05","1","1","01","","3","2","","05","","2","","","5","1","","09","1","136","0002578",1756
"0002579","03","1","1","02","","2","3","","05","","2","","","9","2","1","09","1","136","0002579",1648
"0002581","05","1","1","01","","3","3","","05","","4","","","4","2","1","09","1","136","0002581",1493
"0002584","02","1","1","01","","2","2","","05","","1","3","","3","2","9","09","2","138","0002584",949
"0002584","03","1","1","03","","2","1","4","","","","","","","","","09","2","138","0002584",949
"0002584","03","1","2","04","","2","2","","05","","2","","","3","2","9","09","2","138","0002584",949
"0002584","04","1","1","01","","4","4","","03","1","4","","","2","2","2","09","2","138","0002584",949
"0002585","03","1","1","03","","2","4","","05","1","1","","","1","1","","09","2","138","0002585",1657
"0002585","04","1","1","05","","2","1","4","","","","","","","","","09","2","138","0002585",1657
"0002585","05","1","1","05","","3","4","","05","2","","","","","","","09","2","138","0002585",1657
"0002585","05","1","2","06","","3","4","","05","2","","","","","","","09","2","138","0002585",1657
"0002586","01","1","1","01","","2","4","","05","1","1","","","1","2","1","09","2","138","0002586",1338
"0002586","03","1","1","03","","3","4","","05","2","","","","","","","09","2","138","0002586",1338
"0002586","04","1","1","01","","3","3","","05","","2","","","1","1","","09","2","138","0002586",1338
"0002586","05","1","1","08","","3","4","","05","1","1","","","1","1","","09","2","138","0002586",1338
"0002587","01","1","1","01","","3","4","","05","2","","","","","","","09","2","138","0002587",1186
"0002590","05","1","1","01","","1","4","","05","1","1","","","1","2","1","09","3","139","0002590",1994
"0002591","03","1","1","02","","3","4","","03","1","1","","","2","1","","09","3","139","0002591",2058
"0002591","04","1","1","01","","1","3","","05","","1","","","1","2","1","09","3","139","0002591",2058
"0002592","01","1","1","01","","2","4","","05","2","","","","","","","09","3","139","0002592",1795
"0002593","03","1","1","01","","4","2","","03","","4","","","5","2","3","09","1","136","0002593",1611
"0002593","04","1","1","01","","1","3","","05","","1","","","4","2","2","09","1","136","0002593",1611
"0002594","01","1","1","01","","4","4","","05","1","1","4","","2","1","","09","1","136","0002594",2167
"0002595","01","1","1","01","","3","4","","02","1","2","","","2","2","1","09","1","135","0002595",1576
"0002595","01","1","2","01","","3","4","","02","1","1","2","","2","2","1","09","1","135","0002595",1576
"0002596","02","1","1","02","","3","2","","03","","2","","","3","1","","09","1","137","0002596",1932
"0002598","02","1","1","03","","2","3","","05","","7","","","1","1","","09","1","135","0002598",1370
"0002598","02","1","2","04","","2","3","","05","","1","","","2","1","","09","1","135","0002598",1370
"0002598","04","1","1","02","","2","9","","","","","","","","","","09","1","135","0002598",1370
"0002599","03","1","1","02","","2","2","","02","","1","","","3","2","3","09","1","136","0002599",2509
"0002599","05","1","1","01","","3","4","","05","1","1","","","2","2","9","09","1","136","0002599",2509
"0002600","04","1","1","01","","3","2","","05","","4","","","5","2","1","09","1","136","0002600",1697
"0002601","04","1","1","02","","1","2","","01","","1","2","","6","1","","09","1","136","0002601",2265
"0002602","03","1","1","03","","3","2","","05","","2","","","3","1","","09","1","136","0002602",2066
"0002602","04","1","1","01","","3","3","","05","","4","","","9","2","9","09","1","136","0002602",2066
"0002602","05","1","1","06","","2","2","","05","","2","","","5","2","1","09","1","136","0002602",2066
"0002603","01","1","1","01","","3","4","","08","2","","","","","","","09","4","140","0002603",1763
"0002603","06","1","1","01","","2","3","","08","","1","","","3","1","","09","4","140","0002603",1763
"0002605","01","1","1","01","","3","4","","03","1","1","","","1","2","1","09","1","136","0002605",16
"0002605","05","1","1","01","","1","4","","03","1","1","","","1","1","","09","1","136","0002605",16
"0002606","02","1","1","02","","4","9","","","","","","","","","","09","1","136","0002606",21
"0002606","05","1","1","02","","3","4","","05","1","1","5","","1","2","2","09","1","136","0002606",21
"0002607","02","1","1","01","","2","4","","05","2","","","","","","","09","1","136","0002607",7
"0002608","02","1","1","01","02","3","4","","05","2","","","","","","","09","1","136","0002608",7
"0002608","04","1","1","01","03","2","4","","03","1","1","5","","1","1","","09","1","136","0002608",7
"0002608","05","1","1","03","","2","4","","05","2","","","","","","","09","1","136","0002608",7
"0002609","01","1","1","01","","3","4","","05","1","1","","","9","2","1","09","1","136","0002609",37
"0002609","01","1","2","03","","2","1","5","","","","","","","","","09","1","136","0002609",37
"0002609","02","1","1","02","","4","4","","08","1","4","6","","9","2","2","09","1","136","0002609",37
"0002609","03","1","1","03","","2","1","5","","","","","","","","","09","1","136","0002609",37
"0002609","04","1","1","02","","3","2","","05","","1","","","3","1","","09","1","136","0002609",37
"0002609","05","1","1","01","","3","4","","05","2","","","","","","","09","1","136","0002609",37
"0002609","07","1","1","02","","2","4","","05","1","1","","","9","1","","09","1","136","0002609",37
"0002609","08","1","1","01","","3","3","","08","","2","","","3","2","9","09","1","136","0002609",37
"0002610","01","1","1","03","","3","2","","05","","2","","","1","2","1","09","1","136","0002610",8
"0002610","02","1","1","03","","2","4","","05","2","","","","","","","09","1","136","0002610",8
"0002610","04","1","1","03","","2","4","","05","1","4","","","1","2","1","09","1","136","0002610",8
"0002611","03","1","1","01","","2","4","","05","2","","","","","","","09","1","136","0002611",8
"0002611","05","1","1","02","","2","4","","05","1","1","","","1","2","2","09","1","136","0002611",8
"0002612","03","1","1","02","","1","4","","05","1","1","","","1","1","","09","1","136","0002612",8
"0002612","04","1","1","01","","1","4","","05","1","1","","","1","2","3","09","1","136","0002612",8
"0002613","08","1","1","01","","3","4","","05","1","1","","","2","2","1","09","1","136","0002613",26
"0002617","02","1","1","01","","2","2","","01","","1","","","1","2","1","09","1","136","0002617",19
"0002617","05","1","1","02","","4","4","","05","2","","","","","","","09","1","136","0002617",19
"0002621","02","1","1","04","","3","4","","03","2","","","","","","","09","1","136","0002621",10
"0002622","01","1","1","03","","2","2","","05","","3","","","9","2","9","10","1","143","0002622",265
"0002622","01","1","2","04","","2","2","","05","","6","","","5","2","9","10","1","143","0002622",265
"0002622","02","1","1","03","","1","1","4","","","","","","","","","10","1","143","0002622",265
"0002622","03","1","1","02","","3","4","","05","1","1","","","1","1","","10","1","143","0002622",265
"0002622","04","1","1","03","","2","2","","05","","1","","","3","1","","10","1","143","0002622",265
"0002624","03","1","1","02","01","2","3","","05","","1","3","","4","2","1","10","1","144","0002624",343
"0002625","04","1","1","01","","3","4","","02","2","","","","","","","10","1","144","0002625",397
"0002626","01","1","1","01","","3","4","","05","2","","","","","","","10","1","143","0002626",277
"0002626","05","1","1","03","","1","1","5","","","","","","","","","10","1","143","0002626",277
"0002627","01","1","1","03","","3","4","","05","1","4","","","3","2","1","10","1","143","0002627",188
"0002629","01","1","1","01","","2","2","","05","","3","","","4","1","","10","1","144","0002629",349
"0002629","03","1","1","01","","3","2","","05","","2","","","4","2","1","10","1","144","0002629",349
"0002629","05","1","1","01","","3","2","","01","","1","","","5","1","","10","1","144","0002629",349
"0002630","04","1","1","01","","2","4","","01","1","1","","","1","2","9","10","1","143","0002630",165
"0002631","01","1","1","02","","2","1","5","","","","","","","","","10","1","143","0002631",253
"0002632","01","2","1","01","02","3","4","","05","1","2","","","9","2","2","10","1","143","0002632",257
"0002632","03","1","1","01","","3","4","","05","1","3","","","3","1","","10","1","143","0002632",257
"0002632","05","1","1","05","","9","9","","","","","","","","","","10","1","143","0002632",257
"0002632","05","1","2","04","","9","9","","","","","","","","","","10","1","143","0002632",257
"0002633","05","1","1","04","03","2","1","1","","","","","","","","","10","1","143","0002633",253
"0002637","03","1","1","01","","3","4","","05","2","","","","","","","10","1","143","0002637",303
"0002638","05","1","1","01","","4","2","","05","","4","","","5","1","","10","1","144","0002638",729
"0002639","02","1","1","03","","2","4","","05","1","1","6","","3","2","1","10","1","144","0002639",537
"0002639","03","1","1","04","","2","1","4","","","","","","","","","10","1","144","0002639",537
"0002639","04","1","1","01","02","3","3","","01","","2","","","5","2","1","10","1","144","0002639",537
"0002640","03","1","1","01","","2","4","","05","2","","","","","","","10","1","142","0002640",260
"0002641","02","1","1","01","","3","4","","05","1","5","","","9","1","","10","1","142","0002641",274
"0002645","02","1","1","03","","3","2","","05","","9","","","3","2","9","10","1","143","0002645",277
"0002645","03","1","1","03","","6","4","","05","1","1","","","9","2","2","10","1","143","0002645",277
"0002645","04","1","1","03","","3","4","","03","2","","","","","","","10","1","143","0002645",277
"0002646","02","1","1","01","","3","4","","08","1","1","","","1","1","","10","1","142","0002646",323
"0002646","05","1","1","01","","3","4","","05","1","1","2","","9","2","1","10","1","142","0002646",323
"0002650","01","1","1","02","","2","4","","05","2","","","","","","","10","1","143","0002650",253
"0002650","01","1","2","03","","3","4","","05","2","","","","","","","10","1","143","0002650",253
"0002650","03","1","1","01","","2","4","","05","2","","","","","","","10","1","143","0002650",253
"0002650","05","1","1","02","","2","2","","05","","2","","","3","2","1","10","1","143","0002650",253
"0002653","04","1","1","03","","2","2","","05","","2","","","2","2","1","10","1","143","0002653",264
"0002654","01","1","1","05","","9","9","","","","","","","","","","10","1","143","0002654",257
"0002656","01","1","1","04","","2","4","","05","2","","","","","","","10","1","143","0002656",244
"0002656","02","1","1","04","","4","4","","03","2","","","","","","","10","1","143","0002656",244
"0002656","03","1","1","02","","1","3","","05","","4","6","","2","2","1","10","1","143","0002656",244
"0002657","01","1","1","01","","3","4","","03","1","1","","","9","2","1","10","1","143","0002657",271
"0002657","02","1","1","01","","3","2","","05","","2","","","2","2","3","10","1","143","0002657",271
"0002658","02","3","1","01","","2","2","","04","","1","","","9","2","4","10","1","143","0002658",271
"0002659","02","1","1","04","","2","3","","05","","2","","","3","1","","10","1","142","0002659",260
"0002659","05","1","1","02","01","4","4","","07","2","","","","","","","10","1","142","0002659",260
"0002661","01","1","1","03","","3","2","","05","","2","","","9","2","1","10","1","143","0002661",239
"0002661","02","1","1","09","","3","2","","02","","2","","","2","1","","10","1","143","0002661",239
"0002661","04","1","1","01","","3","2","","05","","2","","","2","1","","10","1","143","0002661",239
"0002662","01","1","1","02","","4","2","","02","","2","","","3","2","1","10","1","143","0002662",277
"0002662","02","1","1","01","","2","2","","05","","1","","","2","2","2","10","1","143","0002662",277
"0002662","04","1","1","01","","2","2","","05","","1","","","3","2","1","10","1","143","0002662",277
"0002663","01","1","1","01","","3","1","3","","","","","","","","","10","1","143","0002663",289
"0002664","05","1","1","03","","2","1","6","","","","","","","","","10","1","143","0002664",288
"0002665","03","1","1","04","","2","4","","05","2","","","","","","","10","1","143","0002665",260
"0002666","05","1","1","01","02","3","2","","05","","3","","","3","2","1","10","1","143","0002666",327
"0002667","01","1","1","03","","2","1","3","","","","","","","","","10","1","143","0002667",282
"0002667","01","1","2","04","","2","3","","05","","2","","","2","2","2","10","1","143","0002667",282
"0002668","01","1","1","01","02","3","4","","01","1","1","","","2","2","1","10","1","142","0002668",317
"0002668","05","1","1","01","02","2","3","","08","","2","4","","3","2","4","10","1","142","0002668",317
"0002669","04","1","1","02","03","2","2","","05","","2","","","9","2","1","10","1","143","0002669",252
"0002669","04","1","2","03","","3","2","","05","","2","","","9","2","1","10","1","143","0002669",252
"0002669","05","1","1","01","02","3","2","","05","","1","2","","3","2","1","10","1","143","0002669",252
"0002670","02","1","1","03","","1","1","4","","","","","","","","","10","1","143","0002670",296
"0002671","01","2","1","01","","3","4","","05","2","","","","","","","10","1","142","0002671",331
"0002671","05","1","1","02","","2","4","","01","1","1","","","1","2","1","10","1","142","0002671",331
"0002677","01","1","1","02","","2","4","","05","1","1","4","","9","2","1","10","1","142","0002677",297
"0002678","01","1","1","01","","2","4","","05","1","1","","","2","2","9","10","1","142","0002678",292
"0002678","04","1","1","03","","2","9","","","","","","","","","","10","1","142","0002678",292
"0002678","04","1","2","02","","4","9","","","","","","","","","","10","1","142","0002678",292
"0002680","04","1","1","02","","2","2","","01","","2","","","3","1","","10","1","142","0002680",295
"0002681","01","1","1","01","","3","2","","08","","2","","","3","2","1","10","1","142","0002681",318
"0002681","04","1","1","04","","1","2","","05","","2","","","9","2","1","10","1","142","0002681",318
"0002681","05","1","1","01","","5","4","","08","2","","","","","","","10","1","142","0002681",318
"0002684","03","1","1","02","","2","2","","05","","2","","","3","1","","10","1","142","0002684",402
"0002684","05","1","1","02","","2","4","","05","1","1","","","1","1","","10","1","142","0002684",402
"0002685","01","1","1","07","","2","1","6","","","","","","","","","10","1","142","0002685",357
"0002685","01","1","2","03","","3","4","","05","2","","","","","","","10","1","142","0002685",357
"0002685","01","1","3","12","","2","4","","05","2","","","","","","","10","1","142","0002685",357
"0002685","01","1","4","04","","4","4","","05","1","1","","","2","1","","10","1","142","0002685",357
"0002685","04","1","1","03","","2","4","","05","2","","","","","","","10","1","142","0002685",357
"0002687","02","1","1","02","","2","4","","05","2","","","","","","","10","1","143","0002687",358
"0002688","02","1","1","01","","1","2","","01","","3","","","5","1","","10","1","143","0002688",298
"0002688","02","1","2","01","","3","2","","01","","2","","","4","1","","10","1","143","0002688",298
"0002688","03","1","1","01","","2","2","","02","","3","","","3","1","","10","1","143","0002688",298
"0002689","01","1","1","01","02","2","4","","05","1","4","","","1","2","1","10","1","142","0002689",290
"0002691","04","2","1","01","","4","2","","05","","2","","","3","2","1","10","1","143","0002691",275
"0002692","02","1","1","01","","3","3","","05","","2","","","2","1","","10","1","143","0002692",266
"0002692","05","1","1","04","","2","1","5","","","","","","","","","10","1","143","0002692",266
"0002694","05","1","1","03","","2","4","","03","2","","","","","","","10","1","142","0002694",305
"0002695","01","1","1","01","","2","4","","01","2","","","","","","","10","1","142","0002695",261
"0002697","04","1","1","01","","1","3","","05","","4","","","2","2","1","10","1","143","0002697",285
"0002698","01","1","1","01","","3","1","6","","","","","","","","","10","1","143","0002698",307
"0002698","04","1","1","02","","3","1","2","","","","","","","","","10","1","143","0002698",307
"0002699","02","1","1","03","05","1","1","5","","","","","","","","","10","1","143","0002699",336
"0002699","02","1","2","05","","3","4","","05","2","","","","","","","10","1","143","0002699",336
"0002700","03","1","1","01","","2","1","6","","","","","","","","","10","1","143","0002700",395
"0002700","05","1","1","01","","4","4","","05","1","1","","","3","2","1","10","1","143","0002700",395
"0002701","04","1","1","04","","2","1","3","","","","","","","","","10","1","142","0002701",309
"0002702","03","1","1","02","01","1","4","","05","2","","","","","","","10","1","142","0002702",316
"0002702","05","1","1","01","","3","4","","05","1","4","","","1","2","1","10","1","142","0002702",316
"0002703","04","1","1","01","","4","3","","05","","3","","","3","1","","10","1","143","0002703",356
"0002704","02","2","1","01","","2","4","","05","1","2","","","1","2","1","10","1","142","0002704",301
"0002705","03","1","1","02","","3","3","","05","","2","","","2","1","","10","1","142","0002705",341
"0002705","05","1","1","01","","2","1","5","","","","","","","","","10","1","142","0002705",341
"0002707","01","1","1","01","","3","3","","08","","2","","","2","2","1","10","1","143","0002707",321
"0002707","02","1","1","03","01","3","4","","05","2","","","","","","","10","1","143","0002707",321
"0002708","03","1","1","01","","3","2","","05","","1","","","2","2","2","10","1","142","0002708",338
"0002709","04","1","1","01","","1","4","","05","2","","","","","","","10","1","142","0002709",373
"0002709","04","1","2","02","","2","2","","05","","1","","","3","2","1","10","1","142","0002709",373
"0002711","01","1","1","01","","3","2","","02","","2","","","9","1","","10","1","142","0002711",246
"0002711","05","1","1","01","","3","3","","05","","2","","","2","1","","10","1","142","0002711",246
"0002712","04","1","1","01","","4","3","","03","","2","","","1","2","1","10","1","142","0002712",277
"0002713","01","1","1","02","","2","4","","05","1","4","6","","1","1","","10","1","142","0002713",261
"0002714","01","1","1","02","","2","3","","05","","2","","","2","1","","10","1","142","0002714",441
"0002714","04","1","1","01","","2","4","","05","1","6","","","3","1","","10","1","142","0002714",441
"0002717","05","1","1","01","02","2","4","","05","2","","","","","","","10","1","144","0002717",348
"0002718","04","1","1","02","","3","4","","03","1","1","4","","3","2","1","10","1","142","0002718",266
"0002719","02","1","1","02","","3","2","","05","","3","","","3","2","1","10","1","144","0002719",396
"0002724","05","1","1","02","","3","2","","05","","2","","","3","2","1","10","1","144","0002724",389
"0002727","01","1","1","02","","2","3","","01","","2","","","3","2","1","10","1","144","0002727",441
"0002728","01","1","1","01","","3","3","","02","","2","","","2","1","","10","1","143","0002728",276
"0002728","02","1","1","03","","2","2","","02","","2","","","3","2","1","10","1","143","0002728",276
"0002729","01","1","1","01","02","3","2","","07","","3","","","4","1","","10","1","143","0002729",277
"0002729","05","1","1","01","","2","3","","05","","2","","","3","2","9","10","1","143","0002729",277
"0002730","04","1","1","03","04","2","1","5","","","","","","","","","10","1","142","0002730",285
"0002732","05","1","1","01","","2","4","","05","2","","","","","","","10","1","144","0002732",386
"0002734","01","1","1","01","02","3","2","","05","","2","","","3","1","","10","1","143","0002734",331
"0002737","02","1","1","03","","3","4","","05","2","","","","","","","10","1","142","0002737",282
"0002737","04","1","1","01","","1","2","","04","","2","","","2","2","1","10","1","142","0002737",282
"0002738","03","1","1","01","","3","4","","03","2","","","","","","","10","1","144","0002738",395
"0002739","03","1","1","04","03","2","4","","03","1","4","","","3","1","","10","1","143","0002739",392
"0002739","04","1","1","01","","3","4","","05","2","","","","","","","10","1","143","0002739",392
"0002740","02","1","1","04","","1","4","","03","1","1","","","1","2","2","10","1","141","0002740",628
"0002746","02","1","1","01","","4","4","","05","2","","","","","","","10","1","145","0002746",223
"0002747","01","1","1","02","","3","2","","08","","2","","","3","2","1","10","1","145","0002747",195
"0002748","03","1","1","02","","1","4","","05","2","","","","","","","10","1","145","0002748",300
"0002748","05","2","1","02","","3","4","","03","1","1","","","4","2","8","10","1","145","0002748",300
"0002750","01","1","1","02","","1","1","6","","","","","","","","","10","1","146","0002750",213
"0002750","01","1","2","03","","2","4","","05","2","","","","","","","10","1","146","0002750",213
"0002754","01","1","1","01","","2","1","4","","","","","","","","","10","1","145","0002754",261
"0002755","04","1","1","01","","2","9","","","","","","","","","","10","1","145","0002755",323
"0002756","01","1","1","01","02","3","3","","05","","3","","","4","2","1","10","1","146","0002756",267
"0002756","03","1","1","02","","3","3","","02","","2","","","2","1","","10","1","146","0002756",267
"0002758","05","1","1","05","","2","3","","05","","2","","","3","2","1","10","1","146","0002758",250
"0002759","05","1","1","02","","1","1","5","","","","","","","","","10","1","146","0002759",265
"0002761","01","1","1","03","","3","2","","02","","2","","","3","1","","10","1","145","0002761",257
"0002761","03","2","1","01","","2","4","","05","2","","","","","","","10","1","145","0002761",257
"0002761","04","1","1","02","","2","3","","02","","2","","","2","2","1","10","1","145","0002761",257
"0002763","01","1","1","01","","3","3","","07","","3","","","3","2","1","10","1","145","0002763",205
"0002765","03","1","1","01","","4","2","","03","","3","","","4","1","","10","1","147","0002765",346
"0002767","01","1","1","04","03","2","1","6","","","","","","","","","10","1","145","0002767",305
"0002767","02","1","1","03","04","2","2","","05","","2","","","3","2","1","10","1","145","0002767",305
"0002767","04","1","1","02","","1","4","","05","2","","","","","","","10","1","145","0002767",305
"0002767","05","1","1","01","","8","4","","01","2","","","","","","","10","1","145","0002767",305
"0002768","01","1","1","02","01","3","4","","01","2","","","","","","","10","1","145","0002768",262
"0002768","05","1","1","01","02","2","3","","10","","1","6","","4","1","","10","1","145","0002768",262
"0002770","05","1","1","03","","2","1","2","","","","","","","","","10","1","145","0002770",280
"0002771","02","1","1","01","","2","2","","05","","2","","","3","1","","10","1","147","0002771",337
"0002772","03","1","1","03","","2","2","","05","","2","","","2","2","1","10","1","145","0002772",266
"0002772","05","1","1","02","","2","3","","05","","2","","","2","1","","10","1","145","0002772",266
"0002773","02","1","1","01","","4","2","","07","","2","","","3","2","1","10","1","146","0002773",283
"0002773","04","1","1","03","","4","4","","05","1","4","","","4","2","1","10","1","146","0002773",283
"0002775","03","1","1","02","","3","3","","01","","2","","","2","2","1","10","1","146","0002775",271
"0002775","04","1","1","02","","2","1","2","","","","","","","","","10","1","146","0002775",271
"0002778","04","1","1","01","","3","2","","03","","4","","","4","2","1","10","1","145","0002778",279
"0002779","03","1","1","02","01","3","2","","05","","2","","","3","2","1","10","1","146","0002779",240
"0002780","01","1","1","02","","3","4","","05","2","","","","","","","10","1","147","0002780",306
"0002781","02","1","1","01","02","2","9","","","","","","","","","","10","1","146","0002781",262
"0002781","03","1","1","03","","2","9","","","","","","","","","","10","1","146","0002781",262
"0002781","05","1","1","02","","3","2","","05","","2","","","2","2","2","10","1","146","0002781",262
"0002782","05","1","1","01","","3","3","","05","","3","","","3","1","","10","1","147","0002782",296
"0002782","05","1","2","01","","3","3","","05","","3","","","3","1","","10","1","147","0002782",296
"0002783","04","1","1","01","","3","2","","03","","1","2","","3","1","","10","1","147","0002783",314
"0002785","01","1","1","02","","4","2","","02","","3","","","4","2","1","10","1","146","0002785",239
"0002785","02","1","1","01","","3","3","","02","","3","","","3","1","","10","1","146","0002785",239
"0002785","04","1","1","01","","2","3","","05","","2","","","3","1","","10","1","146","0002785",239
"0002791","02","1","1","02","","2","1","6","","","","","","","","","10","1","146","0002791",246
"0002791","05","1","1","02","01","3","2","","03","","1","","","5","2","8","10","1","146","0002791",246
"0002793","05","1","1","02","","2","2","","05","","2","","","9","1","","10","1","146","0002793",258
"0002794","01","1","1","01","","2","3","","05","","2","","","2","1","","10","1","146","0002794",261
"0002795","03","1","1","02","","3","3","","03","","2","","","9","2","1","10","1","145","0002795",252
"0002795","04","1","1","01","","2","3","","05","","2","6","","1","2","9","10","1","145","0002795",252
"0002796","04","1","1","02","","2","3","","05","","2","","","3","1","","10","1","146","0002796",249
"0002797","04","1","1","01","","3","2","","05","","2","","","3","2","2","10","1","145","0002797",208
"0002798","01","1","1","01","","4","2","","01","","2","","","3","2","1","10","1","145","0002798",227
"0002798","02","1","1","01","","2","1","4","","","","","","","","","10","1","145","0002798",227
"0002800","01","1","1","01","","2","1","2","","","","","","","","","10","1","145","0002800",215
"0002802","01","1","1","01","","3","2","","05","","1","","","3","2","2","10","1","147","0002802",277
"0002802","03","1","1","01","","3","2","","01","","2","","","3","2","1","10","1","147","0002802",277
"0002803","01","1","1","03","","2","2","","05","","2","","","2","2","9","10","1","145","0002803",247
"0002803","03","1","1","03","","3","1","5","","","","","","","","","10","1","145","0002803",247
"0002804","04","1","1","01","","2","3","","05","","1","","","1","2","9","10","1","145","0002804",253
"0002805","11","1","1","01","","4","4","","05","2","","","","","","","10","2","150","0002805",234
"0002805","14","1","1","02","","3","4","","05","2","","","","","","","10","2","150","0002805",234
"0002806","11","1","1","01","","2","4","","03","2","","","","","","","10","2","150","0002806",265
"0002806","16","1","1","01","","2","4","","05","1","2","","","1","2","1","10","2","150","0002806",265
"0002806","18","1","1","01","","3","4","","03","1","4","","","2","2","1","10","2","150","0002806",265
"0002808","02","1","1","01","","2","2","","09","","2","","","9","2","1","10","2","148","0002808",297
"0002812","03","1","1","03","04","3","4","","02","1","2","3","","9","1","","10","2","148","0002812",352
"0002813","05","1","1","04","","3","3","","05","","2","","","3","1","","10","2","148","0002813",317
"0002819","03","1","1","04","","2","2","","05","","2","","","9","2","3","10","2","148","0002819",324
"0002821","02","1","1","02","","2","3","","05","","6","","","2","1","","10","2","148","0002821",307
"0002821","03","1","1","01","","3","4","","05","2","","","","","","","10","2","148","0002821",307
"0002822","01","1","1","04","03","3","3","","05","","2","","","3","1","","10","2","148","0002822",249
"0002823","04","1","1","01","02","3","4","","01","1","1","","","1","1","","10","2","148","0002823",346
"0002824","05","1","1","02","","4","4","","02","2","","","","","","","10","2","148","0002824",227
"0002826","01","1","1","01","","2","4","","01","1","1","4","","2","2","9","10","2","150","0002826",278
"0002826","08","1","1","02","01","3","4","","05","1","3","","","3","2","1","10","2","150","0002826",278
"0002827","13","1","1","03","","2","4","","05","1","1","","","1","2","1","10","2","150","0002827",238
"0002827","19","1","1","01","","2","4","","05","1","1","","","1","2","8","10","2","150","0002827",238
"0002828","01","1","1","01","","3","4","","03","1","1","","","3","2","1","10","2","150","0002828",241
"0002828","10","1","1","02","","2","4","","05","1","1","2","","3","2","1","10","2","150","0002828",241
"0002828","18","1","1","03","","2","1","3","","","","","","","","","10","2","150","0002828",241
"0002828","20","1","1","01","","3","4","","05","1","1","","","1","2","2","10","2","150","0002828",241
"0002829","12","1","1","02","","2","2","","05","","2","","","3","2","1","10","3","151","0002829",255
"0002829","13","1","1","03","","2","4","","05","1","1","","","1","1","","10","3","151","0002829",255
"0002829","19","1","1","01","02","3","2","","08","","2","","","2","1","","10","3","151","0002829",255
"0002829","20","1","1","01","","1","4","","05","2","","","","","","","10","3","151","0002829",255
"0002830","13","1","1","01","","2","4","","01","1","4","","","1","1","","10","3","151","0002830",370
"0002831","01","1","1","01","","2","4","","05","2","","","","","","","10","3","152","0002831",303
"0002831","09","1","1","04","","2","9","","","","","","","","","","10","3","152","0002831",303
"0002831","10","2","1","01","","2","1","5","","","","","","","","","10","3","152","0002831",303
"0002831","15","1","1","01","06","2","4","","05","1","6","","","1","2","1","10","3","152","0002831",303
"0002831","15","1","2","06","","2","2","","05","","2","","","1","2","1","10","3","152","0002831",303
"0002832","04","1","1","02","","1","4","","03","1","1","","","9","2","9","10","3","149","0002832",200
"0002833","09","1","1","04","","2","4","","05","1","1","2","","9","1","","10","3","152","0002833",356
"0002834","09","1","1","02","01","3","4","","03","1","1","","","2","1","","10","3","151","0002834",315
"0002834","10","1","1","01","02","2","1","5","","","","","","","","","10","3","151","0002834",315
"0002834","15","1","1","02","","3","4","","05","1","1","","","1","1","","10","3","151","0002834",315
"0002834","17","1","1","04","","2","4","","05","1","1","","","1","1","","10","3","151","0002834",315
"0002835","01","1","1","02","03","3","4","","05","1","1","","","9","1","","10","3","151","0002835",296
"0002835","02","1","1","02","","5","4","","05","1","5","","","2","2","9","10","3","151","0002835",296
"0002835","04","1","1","01","02","4","4","","05","1","4","","","9","2","1","10","3","151","0002835",296
"0002835","05","1","1","03","","2","1","1","","","","","","","","","10","3","151","0002835",296
"0002835","05","1","2","05","","2","1","1","","","","","","","","","10","3","151","0002835",296
"0002835","08","1","1","03","","2","4","","05","2","","","","","","","10","3","151","0002835",296
"0002835","09","1","1","02","","1","4","","05","1","7","","","1","2","1","10","3","151","0002835",296
"0002835","16","1","1","01","02","3","4","","08","1","1","6","","3","2","1","10","3","151","0002835",296
"0002836","05","1","1","03","","2","4","","05","2","","","","","","","10","3","152","0002836",241
"0002836","14","1","1","01","","4","4","","05","1","4","","","4","1","","10","3","152","0002836",241
"0002836","19","1","1","01","","3","2","","05","","2","","","4","2","1","10","3","152","0002836",241
"0002836","20","1","1","01","","2","4","","01","1","1","","","3","1","","10","3","152","0002836",241
"0002837","03","1","1","02","","2","4","","05","2","","","","","","","10","3","152","0002837",288
"0002837","08","1","1","02","","3","4","","05","1","4","","","9","2","9","10","3","152","0002837",288
"0002837","09","1","1","01","","4","4","","08","1","1","","","9","2","9","10","3","152","0002837",288
"0002837","12","1","1","02","","2","2","","05","","1","","","1","2","1","10","3","152","0002837",288
"0002837","13","1","1","05","","1","2","","05","","9","","","9","2","9","10","3","152","0002837",288
"0002837","16","1","1","01","02","4","4","","05","2","","","","","","","10","3","152","0002837",288
"0002837","17","1","1","02","","2","4","","05","2","","","","","","","10","3","152","0002837",288
"0002837","18","1","1","01","","2","2","","05","","6","","","2","1","","10","3","152","0002837",288
"0002839","02","1","1","03","04","4","4","","08","1","1","","","3","1","","10","3","151","0002839",296
"0002839","05","1","1","01","","3","4","","01","1","1","","","4","1","","10","3","151","0002839",296
